theta_rad,theta_deg,P_x,P_y,IC_x,IC_y,IC_distance,V_P_mag,A_P_mag,Torque_ratio
0.6991026767376451,40.055632823365784,3.5479338821654305,-1.2293319908391083,38.764415786168726,-44.55271307611655,55.83113778488816,0.008781578432735944,2.4709248474149168e-05,1.9860936429921363
0.7078414601968657,40.55632823365785,3.5423896176829293,-1.222506497544579,25.319313721372133,-28.048160320342443,34.55213635129425,0.008805011906261904,2.3550171127243747e-05,1.9784324072118917
0.7165802436560863,41.057023643949925,3.5368349403191,-1.2156598868104873,19.0687987603766,-20.369590337007757,24.659986857226208,0.008827500886353881,2.2433677952679205e-05,1.9710299786932963
0.7253190271153068,41.557719054242,3.5312697071021013,-1.2087934863410283,15.453394749576848,-15.924024703358873,18.93871947357318,0.00884905750598013,2.1360220706373837e-05,1.9638774107584318
0.7340578105745275,42.058414464534074,3.5256937889607354,-1.201908595184368,13.094332265997686,-13.020159269594592,15.206245141632753,0.008869693890063016,2.0330423145708556e-05,1.9569661949450714
0.742796594033748,42.55910987482614,3.5201070705083204,-1.195006484379439,11.431844222715183,-10.971334752657878,12.57665214493708,0.008889422136195532,1.934509517781987e-05,1.9502882352301107
0.7515353774929685,43.059805285118216,3.5145094498272242,-1.1880883975805512,10.195678793426362,-9.446031385249109,10.62222416377254,0.008908254297479636,1.8405246083910615e-05,1.9438358240549758
0.7602741609521891,43.56050069541029,3.5089008382541955,-1.1811555516606338,9.239357553573605,-8.26455852017787,9.111132299585387,0.008926202367284346,1.7512095350255185e-05,1.9376016200089445
0.7690129444114097,44.06119610570236,3.5032811601666225,-1.174209137293905,8.476597079015814,-7.321064974110172,7.906814017496616,0.008943278265749276,1.666707900330888e-05,1.93157862703606
0.7777517278706302,44.56189151599443,3.4976503527698206,-1.1672503195187254,7.853269316170638,-6.549143678435264,6.923596802319352,0.00895949382787663,1.5871848558076718e-05,1.925760175048175
0.7864905113298508,45.06258692628651,3.492008365885448,-1.1602802382813715,7.33369967978839,-5.905023975513717,6.105013127203158,0.008974860793065541,1.5128258818695278e-05,1.9201399018340488
0.7952292947890713,45.563282336578574,3.4863551617411312,-1.1533000089614283,6.893421246020147,-5.358683406789791,5.412333029791753,0.008989390795954507,1.4438339951757936e-05,1.9147117361634463
0.8039680782482919,46.06397774687065,3.48069071476138,-1.1463107228794884,6.515094453663292,-4.888842531781816,4.818106515147588,0.009003095358451875,1.3804248732788596e-05,1.9094698819968796
0.8127068617075125,46.56467315716272,3.4750150113598606,-1.1393134477877989,6.186088399233402,-4.479997972917202,4.3023356460038285,0.009015985882849518,1.3228194028535156e-05,1.9044088037168159
0.821445645166733,47.06536856745479,3.469328049733076,-1.1323092283444924,5.896984485064657,-4.120586882478937,3.850106375959773,0.009028073645915432,1.2712332945075645e-05,1.899523212304976
0.8301844286259537,47.56606397774687,3.4636298396555123,-1.1252990865720032,5.6406165891041695,-3.801809544337356,3.4500694975322355,0.009039369793873354,1.2258637165487506e-05,1.8948080523949193
0.8389232120851742,48.06675938803894,3.45792040227629,-1.1182840223002573,5.41143597853888,-3.5168503291275397,3.0934355391615367,0.009049885338194067,1.1868734057655519e-05,1.8902584901368293
0.8476619955443947,48.567454798331006,3.4521997699173568,-1.111265013595182,5.20507962549777,-3.2603481566930412,2.7732915721299447,0.009059631152117742,1.1543733822752842e-05,1.8858699018160219
0.8564007790036153,49.06815020862309,3.4464679858732508,-1.104243017173092,5.018069774215155,-3.0280279608623433,2.4841257397090284,0.00906861796783615,1.1284060981384599e-05,1.8816378631702768
0.8651395624628359,49.568845618915155,3.4407251042124636,-1.097218968801462,4.847600447695611,-2.8164388004442396,2.2214893791361336,0.009076856374280273,1.108931358984912e-05,1.877558139357727
0.8738783459220565,50.06954102920723,3.4349711895804154,-1.0901937836865883,4.69138289265154,-2.622764268189195,1.981752420859538,0.00908435681545213,1.0958174199424002e-05,1.8736266755289852
0.882617129381277,50.570236439499304,3.429206317004062,-1.0831683568486192,4.547531815025917,-2.4446829365004366,1.761923343999476,0.009091129589247578,1.0888391041111651e-05,1.8698395879618614
0.8913559128404975,51.07093184979137,3.4234305716981432,-1.0761435634844223,4.414480375461139,-2.280264082271569,1.5595146479924127,0.009097184846725316,1.0876836680376585e-05,1.8661931557198956
0.9000946962997182,51.571627260083446,3.4176440488730777,-1.0691202593187334,4.290915805293671,-2.127888706466763,1.3724409587440027,0.00910253259177763,1.0919637387940787e-05,1.8626838127992706
0.9088334797589387,52.07232267037552,3.4118468535445086,-1.06209928094402,4.1757300339861905,-1.9861889679389175,1.198940892192783,0.009107182681166533,1.1012354056969216e-05,1.8593081407312202
0.9175722632181592,52.57301808066759,3.4060391003444987,-1.0550814461494662,4.067981397407493,-1.854001209942201,1.0375164546259845,0.009111144824885196,1.1150188387687826e-05,1.8560628616090447
0.9263110466773798,53.07371349095966,3.4002209133343704,-1.048067554239497,3.9668646301607744,-1.730329148585708,0.8868855534614799,0.009114428586813638,1.1328187742226383e-05,1.8529448315124073
0.9350498301366004,53.574408901251736,3.3943924258191926,-1.0410583863422027,3.8716871238488144,-1.614314747662667,0.7459444245797179,0.00911704338564213,1.1541427390293465e-05,1.8499510343024472
